time,O2 (micromol/L)
2021-10-30,79.0401248588392
2021-10-31,75.48829993467946
2021-11-01,79.68401032614555
2021-11-02,
2021-11-03,
2021-11-04,
2021-11-05,77.95118302635248
2021-11-06,18.84692318375
2021-11-07,74.55578907677426
2021-11-08,76.60511199011015
2021-11-09,81.65715652334978
2021-11-10,83.4090094663344
2021-11-11,71.01734354744012
2021-11-12,83.90032259620004
2021-11-13,90.00590485753708
2021-11-14,76.62958328090197
2021-11-15,85.56643532968835
2021-11-16,78.27185786068121
2021-11-17,75.39051479514939
2021-11-18,
2021-11-19,78.17233768399883
2022-03-14,79.36814686979504
2022-03-15,79.85148748605701
2022-03-16,79.38336946547697
2022-03-17,76.14190799692585
2022-03-18,74.8290277315262
2022-03-19,79.6714480640203
2022-03-20,
2022-03-21,30.961055089336494
2022-03-22,23.0826159730978
2022-03-23,25.25204888428005
2022-03-24,23.00646384481755
2022-03-25,21.717642513034075
2022-03-26,21.569380495080434
2022-03-27,21.426959989431747
2022-03-28,21.658202763654778
2022-03-29,18.811517219632556
2022-03-30,71.38253452102236
2022-03-31,70.58196128247165
2022-04-01,68.50595952931091
2022-04-02,62.69798972877634
2022-01-24,77.91380844668147
2022-01-25,81.34411475130942
2022-01-26,77.409480622468
2022-01-27,81.06362600784303
2022-01-28,81.53449378258992
2022-01-29,81.085232716458
2022-01-30,82.29572359698909
2022-01-31,85.20037262362943
2022-02-01,81.55833052062465
2022-02-02,76.97042263456014
2022-02-03,80.69108896992446
2022-02-04,73.92127122754957
2021-11-20,73.51082287541604
2021-11-21,77.9823043029431
2021-11-22,79.0543287495112
2021-11-23,80.59190229045267
2021-11-24,78.19049522708991
2021-11-25,84.26713865717012
2021-11-26,72.95437606339406
2021-11-27,80.92887990914987
2021-11-28,76.4616386750005
2021-11-29,75.83154091875745
2021-11-30,78.86959959329316
2021-12-01,82.13786151277198
2021-12-02,72.62909125350306
2021-12-03,73.29151744764027
2022-09-11,67.03637730588962
2022-09-12,60.40209789592332
2022-09-13,62.60135758794822
2022-09-14,41.778275250118085
2022-09-15,57.66965803196119
2022-09-16,64.43516799746163
2022-09-17,59.11191512294221
2022-09-18,50.47132981711847
2022-09-19,61.91307460751381
2022-09-20,56.49577015773448
2022-09-21,73.59112233955663
2022-09-22,65.34337353650285
2022-09-23,74.3178841798386
2022-09-24,59.320273356633294
2022-09-25,60.836349106486516
2022-09-26,73.34315186402212
2022-06-21,61.92935894017726
2022-06-22,57.99342100234039
2022-06-23,52.335516374522705
2022-06-24,61.09542454427672
2022-06-25,42.793674193333366
2022-06-26,49.52172905570255
2022-06-27,58.45439824754299
2022-06-28,62.44441598316057
2022-06-29,71.4840254200097
2022-06-30,23.019009164856783
2022-07-01,22.68325878703378
2022-07-02,22.1772516852157
2022-07-03,17.47553413532826
2022-07-04,18.23326644003043
2022-07-05,21.52891505147749
2022-07-06,24.835371119923906
2022-07-07,22.8195214084471
2022-07-08,20.600285551383248
2022-07-09,23.85351319400634
2022-07-10,21.757664581975202
2022-07-11,14.956137441194729
2022-07-12,13.813881698434535
2022-07-13,13.996617477130847
2022-07-14,15.524067386615714
2022-07-15,16.025324876540644
2022-07-16,16.843944590016033
2022-07-17,18.570847861591655
2022-07-18,21.072042226491757
2022-07-19,19.340887978636243
2022-07-20,13.833581393927597
2022-07-21,15.555079591138023
2022-07-22,20.21080294056928
2022-07-23,18.761914957982594
2022-07-24,21.035696681090908
2022-07-25,16.712937792943922
2022-07-26,15.969277497495291
2022-07-27,18.576862448093443
2022-07-28,21.810626133945707
2022-07-29,21.406560894633238
2022-07-30,21.732434619088487
2022-07-31,18.271366493887058
2022-08-01,20.255269441274528
2022-08-02,21.555325318546714
2022-08-03,23.154797271354123
2022-08-04,20.29217767863671
2022-08-05,21.73381746789995
2022-08-06,22.46678028515718
2022-08-07,22.195371021911285
2022-08-08,23.308486488820677
2022-08-09,25.664894160989316
2022-08-10,26.192651921060026
2022-08-11,24.695723159182904
2022-08-12,
2022-08-13,
2022-08-14,
2022-08-15,
2022-08-16,
2022-08-17,
2022-08-18,
2022-08-19,
2022-08-20,
2022-08-21,
2022-08-22,
2022-08-23,
2022-08-24,
2022-08-25,
2022-08-26,66.65939790930481
2022-08-27,61.30720122429866
2022-08-28,49.615797225364815
2022-08-29,56.40247220551703
2022-08-30,63.89222302851194
2022-08-31,71.13979011420496
2022-09-01,63.06588138060966
2022-09-02,41.72189544472198
2022-09-03,27.827660831455468
2022-09-04,52.25491258205111
2022-09-05,52.475445701682865
2022-09-06,45.8307232976007
2022-09-07,44.89147189874175
2022-09-08,62.737950237419376
2022-09-09,56.69779431991663
2022-09-10,61.74174012155466
2021-12-04,74.92095649886978
2021-12-05,78.84316255204294
2021-12-06,80.48676172598749
2021-12-07,78.68985177536962
2021-12-08,81.36056052051826
2021-12-09,78.39958902205339
2021-12-10,77.19850395646638
2021-12-11,78.04378557347864
2021-12-12,80.95623863253489
2021-12-13,84.33277508887309
2021-12-14,81.15111865596498
2021-12-15,90.99516185055312
2021-12-16,81.57528113269647
2021-12-17,82.17814850473901
2022-04-03,58.12875296565885
2022-04-04,65.63670382124101
2022-04-05,71.81472897418121
2022-04-06,70.35303964045964
2022-04-07,67.31965434208863
2022-04-08,64.42714949654211
2022-04-09,67.77480772653946
2022-04-10,59.18711491422373
2022-04-11,67.43691595526639
2022-04-12,63.237738485717024
2022-04-13,61.16831373251365
2022-04-14,65.8410416814349
2022-04-15,61.076551906873604
2022-04-16,63.657481746340366
2022-04-17,60.99381959266548
2022-04-18,62.006026883026905
2022-04-19,64.32292061740002
2022-04-20,76.55214459453889
2022-04-21,68.02645795691866
2022-04-22,86.70558339198753
2022-04-23,70.57404207903622
2022-01-13,97.2392773607909
2022-01-14,95.673427499597
2022-01-15,92.13706599491323
2022-01-16,90.21709775547448
2022-01-17,86.54067798202134
2022-01-18,88.42880892531491
2022-01-19,87.14157937368397
2022-01-20,84.29426255591379
2022-01-21,87.33098936291206
2022-01-22,83.3937060148783
2022-01-23,80.8216004220244
2022-02-05,76.58755653647167
2022-02-06,88.09216904115006
2022-02-07,82.44842551886119
2022-02-08,82.1919082357329
2022-02-09,80.88222609020066
2022-02-10,82.30866150991471
2022-02-11,83.33582332486166
2022-02-12,77.9060796846025
2022-02-13,78.64417914327605
2022-02-14,79.93172998983063
2022-02-15,72.14142188689942
2022-02-16,75.61229084538283
2022-02-17,75.02235681866291
2021-10-12,75.74899029186199
2021-10-13,66.95041903169275
2021-10-14,64.99079984582315
2021-10-15,66.90223115558797
2021-10-16,62.18826641769458
2021-10-17,57.67259858522753
2021-10-18,68.05305587160113
2021-10-19,73.52538171957056
2021-10-20,81.4155603556186
2021-10-21,83.10316177818578
2021-10-22,78.81568236860686
2021-10-23,101.32101787782756
2021-10-24,93.20976499978043
2021-10-25,91.60167434064952
2021-10-26,103.7031590252005
2021-10-27,93.01956273261798
2021-10-28,116.10329236911691
2021-10-29,91.10607670514095
2022-03-02,68.04611418125594
2022-03-03,77.25874087220897
2022-03-04,76.34472832120517
2022-03-05,72.75550170414371
2022-03-06,74.04929078648507
2022-03-07,74.02012632699099
2022-03-08,73.25919434636371
2022-03-09,73.49821861949904
2022-03-10,75.80120842385384
2022-03-11,74.75903367612953
2022-03-12,75.54969155615845
2022-03-13,75.2799057698759
2022-02-18,69.29927293100604
2022-02-19,74.14712342104755
2022-02-20,73.39938766607753
2022-02-21,74.69684784646059
2022-02-22,74.62488276620127
2022-02-23,73.12292025728391
2022-02-24,73.79346963453968
2022-02-25,75.00995414971362
2022-02-26,73.54897730420092
2022-02-27,73.61719002085533
2022-02-28,76.50681852274016
2022-03-01,70.90084086096472
2022-04-24,70.4098445510724
2022-04-25,77.83525969049762
2022-04-26,78.34138341200057
2022-04-27,73.36444709513682
2022-04-28,77.51311929644429
2022-04-29,69.9380798618302
2022-04-30,66.91172063963863
2022-05-01,74.40218067331365
2022-05-02,69.34962540987607
2022-05-03,56.996724497947326
2022-05-04,69.5009213892386
2022-05-05,76.51783459071406
2022-05-06,75.1884066758871
2022-05-07,73.51120474036698
2022-05-08,68.89670119448152
2022-05-09,69.93907176236756
2022-05-10,67.85681780180505
2022-05-11,60.4568300763891
2022-05-12,63.05506260949
2022-05-13,65.90378411799195
2022-05-14,66.45682963731474
2022-05-15,62.975171932115174
2022-05-16,66.80143334762495
2022-05-17,61.68454828486385
2022-05-18,54.50502981881318
2022-05-19,64.40198440697509
2022-05-20,67.97968854706221
2022-05-21,60.62343148674276
2022-05-22,64.07633411902141
2022-05-23,63.49567234141372
2022-05-24,63.945199834614385
2022-05-25,60.785958300706525
2022-05-26,60.28051382556896
2022-05-27,56.902775277859895
2022-05-28,60.10935293700159
2022-05-29,55.540235463368035
2022-05-30,47.95410806147326
2022-05-31,60.217239855922124
2022-06-01,52.83658391894954
2022-06-02,54.91312507215595
2022-06-03,57.86981998741637
2022-06-04,59.023025573092426
2022-06-05,61.8993296927076
2022-06-06,64.40004626448658
2022-06-07,66.7650653701143
2022-06-08,
2022-06-09,
2022-06-10,
2022-06-11,
2022-06-12,
2022-06-13,
2022-06-14,
2022-06-15,
2022-06-16,
2022-06-17,
2022-06-18,66.84404259551403
2022-06-19,57.24744731989848
2022-06-20,61.498236768696685
2022-09-27,69.92633487107773
2022-09-28,74.17798740114146
2022-09-29,62.074756727965635
2022-09-30,55.72364232715124
2022-10-01,64.44351867791373
2022-10-02,63.20955066027766
2022-10-03,67.42067201265814
2022-10-04,71.56716858919802
2022-10-05,64.13739010207671
2022-10-06,45.233120350162736
2022-10-07,58.68706809335917
2022-10-08,56.36180000691773
2022-10-09,56.29039902982086
2022-10-10,59.69317661746136
2022-10-11,62.63994528929124
2021-12-18,77.45391047020242
2021-12-19,83.00622620445655
2021-12-20,64.15062254834285
2021-12-21,77.7265355473381
2021-12-22,78.72651344315678
2021-12-23,83.70896067539306
2021-12-24,82.21002967035876
2021-12-25,
2021-12-26,
2021-12-27,
2021-12-28,
2021-12-29,
2021-12-30,154.37483391504426
2021-12-31,
2022-01-01,
2022-01-02,
2022-01-03,76.95176360873883
2022-01-04,96.51737790888906
2022-01-05,84.37865886623413
2022-01-06,79.74597369945774
2022-01-07,88.12236874223825
2022-01-08,87.93806972428801
2022-01-09,82.91156638637368
2022-01-10,87.95281777890877
2022-01-11,96.02100393298915
2022-01-12,94.48070850759159
